Female,Status,Timing
FLMW,NPB,0.4004004
FLMW,NPB,0.5672339
FLMW,NPB,0.333667
FLMW,NPB,0.9342676
FLMW,NPB,1.7017017
FLMW,NPB,0.4004004
FLMW,NPB,0.8341675
FLMW,NPB,0.8341675
FLMW,NPB,0.2669336
FLMW,NPB,0.2335669
FLMW,NPB,0.2335669
FLMW,NPB,0.1001001
FLMW,NPB,0.1334668
FLMW,NPB,0.333667
FLMW,NPB,0.1668335
FLMW,NPB,-0.7674341
FLMW,NPB,0.1001001
FLMW,NPB,0.2669336
FLMW,NPB,0.2669336
FLMW,NPB,0.4671338
FLMW,NPB,0.6339673
FLMW,NPB,0.2335669
FLMW,NPB,0.4671338
FLPB,NPB,0.3670337
FLPB,NPB,1.8351685
FNGH,NPB,0.43377
FNOW,NPB,0.9342676
FNOW,NPB,0.1334668
FNOW,NPB,0.3003003
FNOW,NPB,0.4337671
FNOW,NPB,0.4004004
FNOW,NPB,0.7674341
FNOW,NPB,0.1668335
FOYN,NPB,0.26693
FOYN,NPB,0.1668335
FRLP,NPB,0.4671338
FRLP,NPB,0.2002002
FRLP,NPB,0.3670337
FRLP,NPB,-1.1678345
FWNR,NPB,0.3003003
FWNR,NPB,0.7340674
FBPL,PB,0
FBPL,PB,0.1334668
FBPL,PB,0.1001001
FBPL,PB,0.3670337
FBPL,PB,0.2335669
FBPL,PB,0.0667334
FBPL,PB,0.1668335
FBPL,PB,-0.1668335
FBPL,PB,0.2002002
FBPL,PB,0.1334668
FBPL,PB,0.1334668
FBPL,PB,-0.4004004
FBPL,PB,0.1001001
FBPL,PB,0.1334668
FBPL,PB,-0.3670337
FBPL,PB,-0.0667334
FBPL,PB,0.6006006
FBPL,PB,0.4671338
FBPL,PB,0.3003003
FBPL,PB,0.0667334
FBPL,PB,0.4004004
FBPL,PB,0
FBPL,PB,0.0333667
FLMW,PB,0.1334668
FLMW,PB,-0.1001001
FLMW,PB,0.0667334
FLMW,PB,0.1001001
FLMW,PB,0.6006006
FLMW,PB,0.1668335
FLPB,PB,0.2669336
FLPB,PB,0.2002002
FLPB,PB,0.1668335
FLPB,PB,0.23357
FLPB,PB,0.6006006
FLPB,PB,0.5672339
FLPB,PB,0.2002002
FLPB,PB,0.667334
FLPB,PB,0.4004004
FMGW,PB,0.9009009
FMGW,PB,0.3003003
FNGH,PB,0.4337671
FNGH,PB,0.7007007
FNGH,PB,0.4004004
FNGH,PB,0.2002002
FNGH,PB,0.2002002
FNGH,PB,0.0667334
FNGH,PB,0.1001001
FNHW,PB,0.4004
FNHW,PB,-0.1668335
FNHW,PB,0.6006
FNHW,PB,0.467
FNHW,PB,-0.6006006
FNHW,PB,0.5005005
FNHW,PB,0.4004004
FNHW,PB,0.7007007
FNHW,PB,0.7674341
FNHW,PB,0.7007007
FNHW,PB,0.3003003
FNHW,PB,0.333667
FNHW,PB,0.4337671
FNHW,PB,0.667334
FNHW,PB,0.8675342
FNHW,PB,0.3003003
FNHW,PB,0.1001001
FNHW,PB,0.1668335
FNHW,PB,-1.6349683
FNHW,PB,0.3670337
FNHW,PB,0.2335669
FNOW,PB,0.2335669
FNOW,PB,-2.5025025
FNOW,PB,-0.4337671
FNOW,PB,0.6006006
FNOW,PB,0
FNOW,PB,0.3003003
FNOW,PB,0.0333667
FNOW,PB,1.5682349
FNOW,PB,0.7007007
FNOW,PB,0.5338672
FNOW,PB,0.5005005
FNOW,PB,0.3003003
FNOW,PB,0.333667
FNOW,PB,0.0333667
FNOW,PB,0
FNOW,PB,0.1668335
FNOW,PB,0.3670337
FNOW,PB,0.4671338
FOYN,PB,0.16683
FOYN,PB,0.433767
FOYN,PB,0.433767
FOYN,PB,0.433767
FOYN,PB,0.5672339
FOYN,PB,0.6006006
FOYN,PB,0.6339673
FOYN,PB,0.1001001
FOYN,PB,0.8008008
FRLP,PB,0
FRLP,PB,-2.8695362
FRLP,PB,0.1
FRLP,PB,0.2002
FRLP,PB,-0.7340674
FRLP,PB,-1.0343677
FRLP,PB,-1.8351685
FRLP,PB,-1.4347681
FRLP,PB,0.4671338
FRLP,PB,0.6339673
FRLP,PB,-2.002002
FRLP,PB,0.2002002
FRLP,PB,-1.3013013
FRLP,PB,0.5005005
FRLP,PB,0.0667334
FRLP,PB,0.4004004
FRLP,PB,0.2002002
FRLP,PB,0.2669336
FRLP,PB,0.1668335
FRLP,PB,-0.5672339
FRLP,PB,0.1668335
FRLP,PB,0.333667
FRLP,PB,0.4004004
FRLP,PB,-0.1334668
FRLP,PB,-1.1344678
FRLP,PB,-0.2669336
FRLP,PB,0.4004004
FWNR,PB,0.4337671
FWNR,PB,-0.7007007