Status,Timing
PB,0
PB,0.1334668
PB,0.1001001
PB,0.3670337
PB,0.2335669
PB,0.0667334
PB,0.1668335
PB,-0.1668335
PB,0.2002002
PB,0.1334668
PB,0.1334668
PB,-0.4004004
PB,0.1001001
PB,0.1334668
PB,-0.3670337
PB,-0.0667334
PB,0.6006006
PB,0.4671338
PB,0.3003003
PB,0.0667334
PB,0.4004004
PB,0
PB,0.0333667
PB,0.1334668
PB,-0.1001001
PB,0.0667334
PB,0.1001001
PB,0.6006006
PB,0.1668335
PB,0.2669336
PB,0.2002002
PB,0.1668335
PB,0.23357
PB,0.6006006
PB,0.5672339
PB,0.2002002
PB,0.667334
PB,0.4004004
PB,0.9009009
PB,0.3003003
PB,0.4337671
PB,0.7007007
PB,0.4004004
PB,0.2002002
PB,0.2002002
PB,0.0667334
PB,0.1001001
PB,0.4004
PB,-0.1668335
PB,0.6006
PB,0.467
PB,-0.6006006
PB,0.5005005
PB,0.4004004
PB,0.7007007
PB,0.7674341
PB,0.7007007
PB,0.3003003
PB,0.333667
PB,0.4337671
PB,0.667334
PB,0.8675342
PB,0.3003003
PB,0.1001001
PB,0.1668335
PB,-1.6349683
PB,0.3670337
PB,0.2335669
PB,0.2335669
PB,-2.5025025
PB,-0.4337671
PB,0.6006006
PB,0
PB,0.3003003
PB,0.0333667
PB,1.5682349
PB,0.7007007
PB,0.5338672
PB,0.5005005
PB,0.3003003
PB,0.333667
PB,0.0333667
PB,0
PB,0.1668335
PB,0.3670337
PB,0.4671338
PB,0.16683
PB,0.433767
PB,0.433767
PB,0.433767
PB,0.5672339
PB,0.6006006
PB,0.6339673
PB,0.1001001
PB,0.8008008
PB,0
PB,-2.8695362
PB,0.1
PB,0.2002
PB,-0.7340674
PB,-1.0343677
PB,-1.8351685
PB,-1.4347681
PB,0.4671338
PB,0.6339673
PB,-2.002002
PB,0.2002002
PB,-1.3013013
PB,0.5005005
PB,0.0667334
PB,0.4004004
PB,0.2002002
PB,0.2669336
PB,0.1668335
PB,-0.5672339
PB,0.1668335
PB,0.333667
PB,0.4004004
PB,-0.1334668
PB,-1.1344678
PB,-0.2669336
PB,0.4004004
PB,0.4337671
PB,-0.7007007
NPB,0.4004004
NPB,0.5672339
NPB,0.333667
NPB,0.9342676
NPB,1.7017017
NPB,0.4004004
NPB,0.8341675
NPB,0.8341675
NPB,0.2669336
NPB,0.2335669
NPB,0.2335669
NPB,0.1001001
NPB,0.1334668
NPB,0.333667
NPB,0.1668335
NPB,-0.7674341
NPB,0.1001001
NPB,0.2669336
NPB,0.2669336
NPB,0.4671338
NPB,0.6339673
NPB,0.2335669
NPB,0.4671338
NPB,0.3670337
NPB,1.8351685
NPB,0.43377
NPB,0.9342676
NPB,0.1334668
NPB,0.3003003
NPB,0.4337671
NPB,0.4004004
NPB,0.7674341
NPB,0.1668335
NPB,0.26693
NPB,0.1668335
NPB,0.4671338
NPB,0.2002002
NPB,0.3670337
NPB,-1.1678345
NPB,0.3003003
NPB,0.7340674